package name,file,class,type,cbo,rfc,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,visibleFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,nof,nopf,nom,nopm,loc,wmc,nc,dit,lcom,fanin,fanout,ca,ce,A,I,D,is_FC
com.jgraph.pad.dialog,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\dialog\JGraphpadHeaderPanel.java,com.jgraph.pad.dialog.JGraphpadHeaderPanel,class,24,119,-0.007983192,0.040554971,44,1,36,0,8,0,44,0,0,0,10,4,0,0,10,0,2,0,50,27,1,24,1,11,51,75,95,9,68,6,6,3,0,547,33,1,17,0,62,52,842,92,4,4,0.154462848,18,18,5,3,0,0.38,0.62,0
com.jgraph.pad.factory,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\factory\JGraphpadWindowMenu.java,com.jgraph.pad.factory.JGraphpadWindowMenu$FactoryMethod,innerclass,138,344,0.409495345,0.43739755,122,3,106,0,16,0,122,0,0,0,61,30,30,3,28,0,7,0,69,44,24,42,5,28,75,123,323,78,258,42,26,15,0,1677,117,0,97,44,225,200,2763,452,1,12,0.120972367,68,114,5,9,0,0.64,0.36,1
com.jgraph.pad.graph,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\graph\JGraphpadVertexView.java,com.jgraph.pad.graph.JGraphpadVertexView,class,115,480,0.212234483,0.246906132,137,20,104,3,30,0,134,0,12,0,58,29,27,4,25,2,10,0,65,124,8,127,7,103,52,215,448,243,327,50,5,5,0,2128,27,0,72,32,174,138,2488,386,0,0,0.051640405,73,42,0,4,0,1,0,0
com.jgraph.pad.tool,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\tool\JGraphpadVertexTool.java,com.jgraph.pad.tool.JGraphpadVertexTool,class,17,119,0.229274415,0.40000808,31,0,21,0,10,0,31,0,0,0,9,2,2,0,7,0,2,0,3,11,0,34,1,18,2,23,73,26,54,9,0,0,0,341,2,0,10,2,31,21,463,69,1,3,0.107142857,2,0,1,2,0,0.67,0.33,0
com.jgraph.pad.util,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pad\util\JGraphpadTreeModelAdapter.java,com.jgraph.pad.util.JGraphpadTreeModelAdapter,class,43,213,0.26024362,0.330498159,146,6,106,6,12,22,140,3,1,19,90,15,14,18,22,36,9,0,23,63,40,82,9,61,21,231,369,113,251,31,1,7,0,1165,2118,0,145,18,199,138,2213,425,3,1,0.10040234,47,19,4,5,0.12,0.56,0.33,1
com.jgraph.pdfplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\pdfplugin\JGraphpadPDFPlugin.java,com.jgraph.pdfplugin.JGraphpadPDFPlugin,class,23,49,0.333333333,0.333333333,7,0,7,0,0,0,8,0,0,0,3,2,3,0,0,0,1,0,12,1,0,1,1,0,6,14,19,8,18,3,0,1,0,195,11,0,4,4,10,10,144,15,0,4,0.111111111,4,14,0,6,0,1,0,0
com.jgraph.svgplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\svgplugin\JGraphpadSVGServer.java,com.jgraph.svgplugin.JGraphpadSVGServer$HTTPSession,innerclass,42,134,0.516666673,0.59444445,31,1,20,5,6,0,28,0,0,0,17,7,11,3,3,0,5,0,38,14,9,19,7,2,72,29,120,18,93,11,1,3,0,584,15,0,36,28,47,32,751,116,0,4,0.077294686,9,25,0,7,0,1,0,0
com.jgraph.twikiplugin,F:\detectionresult\project\jgraphpad-master\src\com\jgraph\twikiplugin\JGraphpadTWikiPlugin.java,com.jgraph.twikiplugin.JGraphpadTWikiPlugin,class,24,39,0.111111113,0.111111113,7,0,6,0,1,0,8,0,0,0,4,3,4,0,0,0,2,0,12,1,0,3,1,2,17,9,26,5,21,3,0,1,0,234,11,0,7,7,10,9,150,18,0,5,0.388888889,4,17,0,6,0,1,0,0
junit.extensions,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\extensions,junit.extensions.TestSetup,class,15,15,0.31845239,0.31845239,22,0,19,0,2,1,22,0,0,2,3,0,0,2,1,0,0,0,0,6,2,0,1,0,3,3,6,2,6,4,2,0,0,143,4,0,3,0,24,21,133,28,2,2,0.013888889,1,9,3,1,0.14,0.25,0.61,0
junit.framework,F:\detectionresult\project\junit4-r4.13.1\src\main\java\junit\framework\TestSuite.java,junit.framework.TestSuite,class,61,209,0.22235548,0.297652244,185,81,162,15,6,2,170,3,0,13,29,8,0,23,6,0,12,0,128,80,14,32,9,10,54,28,72,41,58,14,3,0,0,911,1038,0,29,0,190,166,1369,242,6,5,-0.096009537,59,44,24,5,0.28,0.17,0.55,0
