package name,file,class,type,cbo,rfc,privateMethodsQty,protectedFieldsQty,returnQty,loopQty,uniqueWordsQty,modifiers,loc,wmc,lcom,fanin,fanout,is_LS
net.sourceforge.pmd.lang.java,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\JavaLanguageModule.java,net.sourceforge.pmd.lang.java.JavaLanguageModule,class,2,2,0,0,0,0,20,1,25,1,0,4,0,1
net.sourceforge.pmd.lang.java.ast,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\TypesFromAst.java,net.sourceforge.pmd.lang.java.ast.TypesFromAst,class,1874,1265,69,87,1139,26,12385,20035,8361,1765,-0.539670611,1741,506,0
net.sourceforge.pmd.lang.java.ast.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\ast\internal\ReportingStrategy.java,net.sourceforge.pmd.lang.java.ast.internal.ReportingStrategy,interface,69,83,6,11,64,4,360,22,707,185,-0.651851852,20,69,0
net.sourceforge.pmd.lang.java.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\internal\JavaLanguageHandler.java,net.sourceforge.pmd.lang.java.internal.JavaLanguageHandler$JavaMetricsProvider,innerclass,82,75,2,13,53,0,251,71,308,79,0.403636364,13,51,0
net.sourceforge.pmd.lang.java.javadoc,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\javadoc\JavadocTag.java,net.sourceforge.pmd.lang.java.javadoc.JavadocTag,class,1,4,1,1,2,0,54,17,27,4,0,3,1,1
net.sourceforge.pmd.lang.java.metrics,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\AbstractJavaOperationMetric.java,net.sourceforge.pmd.lang.java.metrics.AbstractJavaOperationMetric,class,16,13,1,0,8,2,150,3075,93,12,-1,0,5,1
net.sourceforge.pmd.lang.java.metrics.api,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\api\JavaOperationMetric.java,net.sourceforge.pmd.lang.java.metrics.api.JavaOperationMetric,interface,2,0,0,0,0,0,20,2,12,0,-1,0,0,1
net.sourceforge.pmd.lang.java.metrics.internal,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\internal\WocMetric.java,net.sourceforge.pmd.lang.java.metrics.internal.WocMetric,class,77,44,2,0,25,4,530,307,335,52,-0.716666667,2,29,0
net.sourceforge.pmd.lang.java.metrics.internal.visitors,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\metrics\internal\visitors\TccAttributeAccessCollector.java,net.sourceforge.pmd.lang.java.metrics.internal.visitors.TccAttributeAccessCollector,class,108,141,15,6,80,8,350,6,578,136,0.172001764,2,80,0
net.sourceforge.pmd.lang.java.multifile.signature,F:\github文件\pmd-src-7.0.0-SNAPSHOT\pmd-java\src\main\java\net\sourceforge\pmd\lang\java\multifile\signature\JavaSignature.java,net.sourceforge.pmd.lang.java.multifile.signature.JavaSignature,class,23,33,4,7,13,0,255,2118,299,52,0.333333333,13,10,0
